feature,mean_abs_shap_stack,rank_stack
Age,0.11933794603396901,1
GenHlth,0.07779580262357602,2
HighChol,0.06134793959689018,3
Sex,0.0590991413416597,4
HighBP,0.05323181357563901,5
Smoker,0.02812599206219749,6
DiffWalk,0.01724150884442871,7
Stroke,0.016664619943647666,8
Income,0.013974190403401787,9
Diabetes,0.012392514641476525,10
PhysHlth,0.0068632202951827,11
Education,0.004899131610346949,12
BMI,0.002682276722314388,13
Fruits,0.0024862704824338898,14
PhysActivity,0.00245601872862513,15
MentHlth,0.002105539601504199,16
CholCheck,0.0019326854980066574,17
HvyAlcoholConsump,0.0017209467498393105,18
NoDocbcCost,0.0013106182218349455,19
Veggies,0.0010457739563575785,20
AnyHealthcare,0.0003314314311225579,21
