Age,Income,n,prevalence,TPR,selection_rate
1.0,1.0,79,0.013,0.0,0.0
1.0,2.0,54,0.019,0.0,0.0
1.0,3.0,99,0.0,,0.0
1.0,4.0,128,0.016,0.5,0.008
1.0,5.0,154,0.0,,0.0
1.0,6.0,152,0.007,0.0,0.0
1.0,7.0,162,0.006,0.0,0.0
1.0,8.0,295,0.003,0.0,0.003
2.0,1.0,71,0.0,,0.0
2.0,2.0,50,0.04,0.0,0.0
2.0,3.0,88,0.023,0.0,0.0
2.0,4.0,144,0.007,0.0,0.0
2.0,5.0,197,0.02,0.0,0.005
2.0,6.0,257,0.004,0.0,0.0
2.0,7.0,293,0.01,0.0,0.0
2.0,8.0,467,0.0,,0.0
3.0,1.0,87,0.046,0.0,0.011
3.0,2.0,69,0.029,0.0,0.029
3.0,3.0,123,0.016,0.0,0.033
3.0,4.0,151,0.013,0.5,0.02
3.0,5.0,213,0.028,0.333,0.014
3.0,6.0,329,0.015,0.6,0.015
3.0,7.0,395,0.005,0.0,0.0
3.0,8.0,861,0.0,,0.002
4.0,1.0,84,0.083,0.571,0.19
4.0,2.0,77,0.013,0.0,0.091
4.0,3.0,135,0.052,0.143,0.067
4.0,4.0,166,0.03,0.0,0.054
4.0,5.0,209,0.01,0.0,0.043
4.0,6.0,345,0.009,0.0,0.003
4.0,7.0,475,0.015,0.0,0.002
4.0,8.0,1320,0.005,0.0,0.005
5.0,1.0,119,0.059,0.857,0.269
5.0,2.0,110,0.045,0.4,0.227
5.0,3.0,145,0.069,0.4,0.138
5.0,4.0,171,0.023,0.5,0.099
5.0,5.0,209,0.048,0.1,0.043
5.0,6.0,313,0.029,0.333,0.045
5.0,7.0,514,0.018,0.111,0.018
5.0,8.0,1633,0.006,0.111,0.005
6.0,1.0,155,0.135,0.857,0.394
6.0,2.0,123,0.065,0.875,0.398
6.0,3.0,186,0.102,0.737,0.317
6.0,4.0,224,0.112,0.6,0.183
6.0,5.0,252,0.052,0.615,0.127
6.0,6.0,416,0.036,0.333,0.072
6.0,7.0,653,0.025,0.188,0.034
6.0,8.0,2015,0.019,0.026,0.011
7.0,1.0,260,0.146,0.868,0.542
7.0,2.0,198,0.172,0.794,0.505
7.0,3.0,260,0.146,0.737,0.362
7.0,4.0,295,0.105,0.613,0.261
7.0,5.0,382,0.092,0.514,0.183
7.0,6.0,605,0.06,0.528,0.124
7.0,7.0,900,0.042,0.263,0.082
7.0,8.0,2338,0.024,0.304,0.039
8.0,1.0,312,0.16,0.82,0.554
8.0,2.0,274,0.226,0.855,0.544
8.0,3.0,347,0.13,0.889,0.464
8.0,4.0,376,0.144,0.796,0.434
8.0,5.0,474,0.076,0.75,0.272
8.0,6.0,766,0.065,0.58,0.208
8.0,7.0,1065,0.049,0.519,0.143
8.0,8.0,2648,0.039,0.49,0.074
9.0,1.0,275,0.222,0.918,0.644
9.0,2.0,300,0.217,0.877,0.64
9.0,3.0,385,0.171,0.848,0.553
9.0,4.0,464,0.144,0.821,0.431
9.0,5.0,562,0.114,0.859,0.343
9.0,6.0,987,0.096,0.726,0.294
9.0,7.0,1249,0.085,0.651,0.245
9.0,8.0,2384,0.057,0.541,0.167
10.0,1.0,187,0.193,0.917,0.701
10.0,2.0,341,0.211,0.931,0.689
10.0,3.0,415,0.166,0.855,0.6
10.0,4.0,526,0.162,0.871,0.536
10.0,5.0,680,0.135,0.815,0.435
10.0,6.0,1122,0.126,0.844,0.434
10.0,7.0,1252,0.115,0.729,0.327
10.0,8.0,1876,0.114,0.668,0.291
11.0,1.0,141,0.262,0.946,0.745
11.0,2.0,234,0.244,0.947,0.791
11.0,3.0,346,0.205,0.93,0.682
11.0,4.0,504,0.177,0.831,0.611
11.0,5.0,627,0.175,0.864,0.523
11.0,6.0,848,0.167,0.817,0.542
11.0,7.0,784,0.154,0.843,0.492
11.0,8.0,1166,0.114,0.805,0.421
12.0,1.0,100,0.24,0.875,0.78
12.0,2.0,201,0.239,0.917,0.736
12.0,3.0,285,0.225,0.906,0.695
12.0,4.0,424,0.222,0.894,0.656
12.0,5.0,522,0.17,0.876,0.623
12.0,6.0,545,0.194,0.849,0.58
12.0,7.0,471,0.193,0.824,0.588
12.0,8.0,608,0.151,0.891,0.582
13.0,1.0,114,0.228,0.962,0.807
13.0,2.0,264,0.265,0.9,0.799
13.0,3.0,425,0.235,0.89,0.767
13.0,4.0,521,0.228,0.857,0.743
13.0,5.0,615,0.275,0.858,0.728
13.0,6.0,609,0.227,0.92,0.727
13.0,7.0,435,0.246,0.916,0.701
13.0,8.0,475,0.234,0.892,0.688
