Sex,Income,n,prevalence,TPR,selection_rate
0.0,1.0,1313,0.152,0.85,0.483
0.0,2.0,1532,0.167,0.852,0.532
0.0,3.0,2137,0.132,0.809,0.448
0.0,4.0,2619,0.113,0.767,0.372
0.0,5.0,3084,0.093,0.728,0.286
0.0,6.0,4097,0.067,0.611,0.209
0.0,7.0,4633,0.049,0.529,0.12
0.0,8.0,8885,0.026,0.465,0.053
1.0,1.0,671,0.167,0.893,0.565
1.0,2.0,763,0.224,0.912,0.65
1.0,3.0,1102,0.191,0.891,0.564
1.0,4.0,1475,0.191,0.887,0.541
1.0,5.0,2012,0.17,0.872,0.49
1.0,6.0,3197,0.146,0.895,0.452
1.0,7.0,4015,0.117,0.8,0.352
1.0,8.0,9201,0.073,0.707,0.221
