feature,mean_abs_lime,lime_rank
Stroke,0.1076553155829091,1
Age,0.05251119607837072,2
GenHlth,0.04803031818603372,3
Sex,0.04530461269096115,4
HighChol,0.03976167399562722,5
HighBP,0.03264621892472375,6
Smoker,0.021324449083397274,7
DiffWalk,0.020484819403809872,8
Diabetes,0.018830739578739028,9
HvyAlcoholConsump,0.015751454532773948,10
NoDocbcCost,0.009251788769222814,11
Income,0.008368252703561145,12
PhysHlth,0.006116319477384082,13
MentHlth,0.005464345253596159,14
BMI,0.0051775521197290455,15
Education,0.00476477892496588,16
Fruits,0.00463688626635693,17
CholCheck,0.0,18
AnyHealthcare,0.0,19
PhysActivity,0.0,20
Veggies,0.0,21
